province,province_id,community,community_id,settlement,table,main_num1,sub_num2,sub_num3,sub_num4,full_code,name,significance,date,location,notes,revoked_act,legal_act,type,subtype,comment,lon,lat
Սյունիք,,,,Կապան քաղաք,8.1,1,,,,8.1/1,ԱՄՐՈՑ ԿԱՏԱՐԱՎԱՆՔ,Հ,10-18 դդ.,"քաղաքից 5 կմ ամ, Ողջի գետի աջ ափին, նախկին Ջրախոր գյուղի մոտ, «Տանձու լենջ» վայրում",կիսավեր է,,"29.12.2005, N 2322-Ն",Հնագիտական,Ամրոց,,,
Սյունիք,,,,Կապան քաղաք,8.1,,1.1,,,8.1/1.1,Դիտակետ,Հ,10-12 դդ.,Ողջի գետի ձախ ափին,կիսավեր է,,"29.12.2005, N 2322-Ն",Հնագիտական,Դիտակետ,,,
Սյունիք,,,,Կապան քաղաք,8.1,,1.2,,,8.1/1.2,Շինություններ օժանդակ,Հ,10-11 դդ.,ամրոցի տարածքի ամ և հվ-ամ կողմերում,ավերված է,,"29.12.2005, N 2322-Ն",Բնակելի / Շինություններ,Շենք / Շինություն,,,
Սյունիք,,,,Կապան քաղաք,8.1,,1.3,,,8.1/1.3,Պալատական համալիր,Հ,10-12 դդ.,,ավերված է,,"29.12.2005, N 2322-Ն",Բնակելի / Շինություններ,Պալատական համալիր,,,
Սյունիք,,,,Կապան քաղաք,8.1,2,,,,8.1/2,ԱՐՁԱՆ «ԶԱՆԳԵԶՈՒՐՑԻ ԱՂՋԻԿԸ»,Հ,1988 թ.,ավտոկայարանամերձ հրապարակում,քանդ.՝ Բ․ Մինասյան,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Կիսանդրի / Արձան,,,
Սյունիք,,,,Կապան քաղաք,8.1,3,,,,8.1/3,ԱՐՁԱՆ «ՔԱՋԱՐԱՆԻ ԲԱՆԱԼԻՆ»,Հ,1966 թ.,"Կապան-Քաջարան մայրուղու ձախ կողմում, Ողջի գետի աջ ափին",քանդ.` Մ. Նուրիջանյան,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Կիսանդրի / Արձան,,,
Սյունիք,,,,Կապան քաղաք,8.1,4,,,,8.1/4,ԲՆԱԿԱՏԵՂԻ,Հ,Ք.ա. 1 հազ.,"քաղաքից 5 կմ հս-ամ, Ողջի գետի ձախ ափին, ձորում",ավերված է,,"29.12.2005, N 2322-Ն",Հնագիտական,Բնակատեղի,,,
Սյունիք,,,,Կապան քաղաք,8.1,5,,,,8.1/5,ԲՆԱԿԵԼԻ ԹԱՂԱՄԱՍ ԱՉԱՂՈՒ (ՀԱՄԼԵՏԱՎԱՆ),,,քաղաքից 5-6 կմ հս-ամ,նախկին գյուղը մտել է քաղաքի շրջագծի մեջ,,"29.12.2005, N 2322-Ն",Բնակելի / Շինություններ,Բնակելի թաղամաս,,,
Սյունիք,,,,Կապան քաղաք,8.1,,5.1,,,8.1/5.1,Ամրոց Կկոց քար,Հ,10 դ.,Բաղաբերդ ամրոցից աե,ավերված է,,"29.12.2005, N 2322-Ն",Հնագիտական,Ամրոց,,,
Սյունիք,,,,Կապան քաղաք,8.1,,5.2,,,8.1/5.2,Գյուղատեղի Աչաղու,Հ,10-18 դդ.,"թաղամասի հս կողմում, անտառապատ լեռնալանջին",ավերված է,,"29.12.2005, N 2322-Ն",Հնագիտական,Գյուղատեղի,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,5.2.1,,8.1/5.2.1,Գերեզմանոց,Հ,13-14 դդ.,,ավերված է,,"29.12.2005, N 2322-Ն",Թաղումներ,Գերեզմանոց,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,5.2.2,,8.1/5.2.2,Եկեղեցի,Հ,17-18 դդ.,գերեզմանոցի տարածքում,միանավ սրահ,,"29.12.2005, N 2322-Ն",Կրոնական,Եկեղեցի,,,
