year,month,day,births,weekday
1907,7,1,1,1
1911,11,1,1,3
1912,1,12,1,5
1912,7,5,1,5
1913,8,15,1,5
1913,8,29,1,5
1915,7,1,1,4
1916,1,2,1,7
1916,2,13,1,7
1916,5,1,1,1
1916,9,9,1,6
1916,9,15,1,5
1916,11,2,1,4
1917,1,16,1,2
1917,7,13,1,5
1917,8,13,1,1
1918,1,1,1,2
1918,1,5,1,6
1918,2,1,1,5
1918,4,18,1,4
1918,6,14,1,5
1918,6,27,1,4
1918,8,22,1,4
1918,8,27,1,2
1918,9,5,1,4
1918,10,17,1,4
1918,11,13,1,3
1918,11,29,1,5
1918,12,14,1,6
1918,12,25,1,3
1919,1,1,1,3
1919,1,6,1,1
1919,2,7,1,5
1919,2,21,1,5
1919,2,24,1,1
1919,3,12,1,3
1919,5,20,1,2
1919,7,1,3,2
1919,7,7,1,1
1919,8,29,1,5
1919,11,26,1,3
1920,1,1,2,4
1920,1,3,1,6
1920,1,7,1,3
1920,1,10,1,6
1920,1,12,1,1
1920,1,16,1,5
1920,1,20,1,2
1920,2,6,1,5
1920,2,17,1,2
1920,2,25,1,3
1920,3,4,1,4
1920,3,6,1,6
1920,3,20,1,6
1920,4,1,1,4
1920,4,12,1,1
1920,4,20,1,2
1920,5,11,1,2
1920,6,1,1,2
1920,6,5,1,6
1920,7,1,4,4
1920,7,27,1,2
1920,9,26,1,7
1920,9,28,1,2
1920,10,5,1,2
1920,10,12,1,2
1920,10,20,1,3
1920,12,22,1,3
1921,1,1,3,6
1921,1,6,1,4
1921,1,13,1,4
1921,2,10,1,4
1921,2,11,1,5
1921,2,22,1,2
1921,3,7,1,1
1921,3,10,2,4
1921,3,13,1,7
1921,3,25,1,5
1921,4,3,1,7
1921,5,9,1,1
1921,5,12,1,4
1921,5,15,3,7
1921,5,20,1,5
1921,5,24,1,2
1921,5,28,1,6
1921,6,9,1,4
1921,7,1,5,5
1921,7,18,1,1
1921,8,18,1,4
1921,8,28,1,7
1921,9,15,1,4
1921,9,22,1,4
1921,9,26,2,1
1921,10,6,1,4
1921,11,4,1,5
1921,11,10,1,4
1921,11,17,1,4
1921,12,5,1,1
1921,12,25,1,7
1922,1,1,2,7
1922,1,3,1,2
1922,1,7,1,6
1922,1,8,1,7
1922,1,13,1,5
1922,1,15,1,7
1922,1,20,1,5
1922,1,21,1,6
1922,2,4,2,6
1922,2,5,1,7
1922,2,10,1,5
1922,2,22,1,3
1922,2,23,1,4
1922,3,8,1,3
1922,4,2,1,7
1922,4,8,1,6
1922,4,12,1,3
1922,4,20,2,4
1922,5,2,1,2
1922,5,7,1,7
1922,5,22,1,1
1922,5,27,1,6
1922,6,5,1,1
1922,6,15,1,4
1922,6,25,1,7
1922,7,1,5,6
1922,7,4,1,2
1922,7,10,1,1
1922,7,15,2,6
1922,7,20,1,4
1922,8,1,1,2
1922,8,22,1,2
1922,9,12,1,2
1922,9,13,1,3
1922,9,20,1,3
1922,9,27,1,3
1922,10,1,1,7
1922,10,12,1,4
1922,11,7,1,2
1922,11,17,1,5
1922,11,21,1,2
1922,11,22,1,3
1922,11,27,1,1
1922,11,29,1,3
1922,12,7,1,4
1922,12,24,1,7
1922,12,25,1,1
1922,12,28,3,4
1922,12,31,1,7
1923,1,2,1,2
1923,1,7,1,7
1923,1,10,1,3
1923,1,11,1,4
1923,1,13,1,6
1923,1,15,1,1
1923,1,16,1,2
1923,1,18,1,4
1923,1,20,1,6
1923,1,23,1,2
1923,1,27,1,6
1923,2,4,1,7
1923,2,5,1,1
1923,2,8,2,4
1923,2,12,2,1
1923,2,15,1,4
1923,2,16,1,5
1923,3,3,3,6
1923,3,8,1,4
1923,3,19,1,1
1923,3,20,2,2
1923,3,25,1,7
1923,3,29,1,4
1923,4,3,2,2
1923,4,8,1,7
1923,4,10,1,2
1923,4,14,1,6
1923,4,16,1,1
1923,4,21,1,6
1923,4,26,1,4
1923,5,2,1,3
1923,5,9,1,3
1923,5,10,2,4
1923,5,16,1,3
1923,5,20,1,7
1923,5,21,1,1
1923,5,23,1,3
1923,5,24,1,4
1923,5,25,2,5
1923,6,1,1,5
1923,6,10,1,7
1923,6,12,1,2
1923,6,17,1,7
1923,6,20,1,3
1923,6,25,1,1
1923,6,28,1,4
1923,7,1,6,7
1923,7,13,1,5
1923,7,15,1,7
1923,7,26,1,4
1923,7,30,1,1
1923,8,2,1,4
1923,8,4,1,6
1923,8,6,2,1
1923,8,10,1,5
1923,8,24,1,5
1923,8,25,1,6
1923,8,28,1,2
1923,8,29,1,3
1923,9,1,1,6
1923,9,4,2,2
1923,9,7,2,5
1923,9,8,2,6
1923,9,9,1,7
1923,9,20,1,4
1923,9,25,1,2
1923,10,1,1,1
1923,10,3,1,3
1923,10,5,1,5
1923,10,8,1,1
1923,10,14,1,7
1923,10,22,1,1
1923,10,23,2,2
1923,10,26,1,5
1923,11,7,2,3
1923,11,10,1,6
1923,11,12,1,1
1923,11,16,1,5
1923,11,30,2,5
1923,12,7,2,5
1923,12,15,2,6
1923,12,17,1,1
1923,12,19,1,3
1923,12,20,1,4
1923,12,21,1,5
1923,12,24,1,1
1923,12,28,2,5
1924,1,1,5,2
1924,1,2,1,3
1924,1,3,1,4
1924,1,4,1,5
1924,1,5,3,6
1924,1,8,1,2
1924,1,9,1,3
1924,1,10,1,4
1924,1,12,1,6
1924,1,13,3,7
1924,1,14,1,1
1924,1,15,2,2
1924,1,20,1,7
1924,1,21,1,1
1924,1,22,1,2
1924,1,27,2,7
1924,1,29,1,2
1924,1,31,1,4
1924,2,2,1,6
1924,2,3,1,7
1924,2,5,2,2
1924,2,6,4,3
1924,2,7,1,4
1924,2,12,1,2
1924,2,14,1,4
1924,2,15,3,5
1924,2,16,1,6
1924,2,17,1,7
1924,2,20,2,3
1924,2,24,2,7
1924,2,25,1,1
1924,2,26,1,2
1924,3,1,1,6
1924,3,2,1,7
1924,3,4,1,2
1924,3,5,1,3
1924,3,8,3,6
1924,3,9,1,7
1924,3,10,2,1
1924,3,14,1,5
1924,3,16,1,7
1924,3,17,2,1
1924,3,24,1,1
1924,3,30,1,7
1924,3,31,1,1
1924,4,1,2,2
1924,4,4,1,5
1924,4,5,1,6
1924,4,8,1,2
1924,4,10,1,4
1924,4,14,1,1
1924,4,15,1,2
1924,4,20,1,7
1924,4,24,1,4
1924,4,25,3,5
1924,4,26,2,6
1924,5,1,3,4
1924,5,5,3,1
1924,5,6,2,2
1924,5,9,2,5
1924,5,10,2,6
1924,5,12,1,1
1924,5,13,1,2
1924,5,15,1,4
1924,5,16,2,5
1924,5,17,1,6
1924,5,18,2,7
1924,5,20,2,2
1924,5,24,2,6
1924,5,28,1,3
1924,6,2,1,1
1924,6,5,1,4
1924,6,10,1,2
1924,6,14,1,6
1924,6,15,3,7
1924,6,17,1,2
1924,6,18,1,3
1924,6,19,1,4
1924,6,20,1,5
1924,7,1,10,2
1924,7,6,2,7
1924,7,12,1,6
1924,7,15,1,2
1924,7,18,1,5
1924,7,20,2,7
1924,7,26,1,6
1924,8,3,1,7
1924,8,5,1,2
1924,8,19,1,2
1924,8,20,1,3
1924,9,10,1,3
1924,9,12,1,5
1924,9,13,1,6
1924,9,15,1,1
1924,9,18,2,4
1924,9,21,1,7
1924,9,24,1,3
1924,9,25,1,4
1924,9,27,1,6
1924,9,28,1,7
1924,9,30,1,2
1924,10,1,2,3
1924,10,4,3,6
1924,10,10,1,5
1924,10,13,1,1
1924,10,15,1,3
1924,10,21,1,2
1924,10,24,1,5
1924,10,25,1,6
1924,10,28,1,2
1924,11,2,1,7
1924,11,4,1,2
1924,11,5,1,3
1924,11,7,1,5
1924,11,8,1,6
1924,11,10,2,1
1924,11,11,1,2
1924,11,16,1,7
1924,11,19,1,3
1924,11,20,1,4
1924,11,22,1,6
1924,11,25,1,2
1924,11,26,1,3
1924,11,29,1,6
1924,12,7,2,7
1924,12,10,2,3
1924,12,15,1,1
1924,12,18,2,4
1924,12,20,1,6
1924,12,22,2,1
1924,12,23,2,2
1924,12,24,1,3
1924,12,25,2,4
1924,12,27,1,6
1924,12,29,1,1
1924,12,31,1,3
1925,1,1,5,4
1925,1,2,1,5
1925,1,5,2,1
1925,1,6,1,2
1925,1,7,1,3
1925,1,10,1,6
1925,1,12,1,1
1925,1,13,1,2
1925,1,15,4,4
1925,1,17,1,6
1925,1,18,2,7
1925,1,20,2,2
1925,1,23,2,5
1925,1,25,1,7
1925,1,27,2,2
1925,1,28,1,3
1925,2,1,1,7
1925,2,2,1,1
1925,2,5,3,4
1925,2,7,2,6
1925,2,8,1,7
1925,2,10,2,2
1925,2,11,2,3
1925,2,13,1,5
1925,2,15,3,7
1925,2,18,1,3
1925,2,20,1,5
1925,2,21,1,6
1925,2,22,1,7
1925,2,23,1,1
1925,2,25,1,3
1925,2,27,1,5
1925,2,28,1,6
1925,3,1,3,7
1925,3,2,1,1
1925,3,5,1,4
1925,3,6,2,5
1925,3,7,1,6
1925,3,8,3,7
1925,3,11,1,3
1925,3,12,3,4
1925,3,14,2,6
1925,3,15,2,7
1925,3,16,2,1
1925,3,18,2,3
1925,3,20,1,5
1925,3,21,1,6
1925,3,22,1,7
1925,3,23,1,1
1925,3,25,1,3
1925,3,27,2,5
1925,3,28,2,6
1925,3,29,1,7
1925,3,30,1,1
1925,4,1,1,3
1925,4,3,1,5
1925,4,4,1,6
1925,4,5,1,7
1925,4,10,1,5
1925,4,12,2,7
1925,4,15,1,3
1925,4,19,1,7
1925,4,20,3,1
1925,4,21,1,2
1925,4,22,1,3
1925,4,25,1,6
1925,4,28,3,2
1925,5,1,1,5
1925,5,3,1,7
1925,5,4,1,1
1925,5,5,1,2
1925,5,6,2,3
1925,5,10,2,7
1925,5,11,1,1
1925,5,13,1,3
1925,5,15,1,5
1925,5,16,1,6
1925,5,18,1,1
1925,5,20,1,3
1925,5,21,1,4
1925,5,22,1,5
1925,5,23,1,6
1925,5,25,5,1
1925,5,27,1,3
1925,6,1,1,1
1925,6,2,1,2
1925,6,3,1,3
1925,6,5,1,5
1925,6,6,2,6
1925,6,7,1,7
1925,6,14,2,7
1925,6,15,2,1
1925,6,16,1,2
1925,6,17,1,3
1925,6,20,3,6
1925,6,28,1,7
1925,6,30,2,2
1925,7,1,20,3
1925,7,10,2,5
1925,7,12,1,7
1925,7,13,1,1
1925,7,14,2,2
1925,7,15,1,3
1925,7,16,1,4
1925,7,20,2,1
1925,7,23,1,4
1925,7,26,1,7
1925,7,30,1,4
1925,8,2,1,7
1925,8,10,1,1
1925,8,12,1,3
